ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,paraent_catagory_content_id
5432,0,Category,230,/christmas-collection/,"Christmas Collection","| A Collection of Decorative Christmas Items | Scented Christmas Products","Christmas, Candles, Dried Fruit, Pine Cones, Wreath","A range of decorative Christmas products. From ornaments to candles. Includes pine cones, wreaths and other scented items.",category.aspx,9/7/2013,6,9/7/2013,12/27/2023,2,0,2,0,1,1,0,33246,0,0,0,
5445,0,Category,231,/halloween/,Halloween,"| Gifts And Decorations For Halloween","Halloween, Decorations, Gifts,","A selection of gifts and decorations for the spooky season of Halloween.",category.aspx,9/15/2013,6,9/15/2013,11/1/2023,2,0,1,0,1,1,0,23112,0,0,0,
5494,0,Category,232,/thoughtful-quotes-words/,"Thoughtful Quotes & Words",,,,category.aspx,9/26/2013,2,9/26/2013,10/28/2020,2,0,1,0,1,1,0,16114,0,0,0,
5533,0,Category,235,/rune-stones/,"Rune Stones",,,,category.aspx,10/2/2013,2,10/2/2013,10/28/2020,2,0,1,0,1,1,0,16112,0,0,0,
6173,0,Category,241,/any-4-for-999-multi-buy/,"Any 4 For £9.99 Multi Buy!","| Multi Buy Offers All At Any Four Items For £9.99","Multi-buy Offers Gifts","A range of Avena gifts in a multi-buy offer. All at any four for £9.99",category.aspx,2/23/2014,6,2/23/2014,10/29/2020,2,0,1,0,1,1,0,32771,0,0,0,
6272,0,Category,244,/tarot-oracle-cards/,"Tarot & Oracle Cards",,,,category.aspx,3/1/2014,2,3/1/2014,10/23/2020,2,0,1,0,0,0,0,11946,0,0,0,
6663,188,Category,253,/search-by-stone-type/sodalite/,Sodalite,,,,category.aspx,3/28/2014,6,3/28/2014,3/28/2014,2,0,1,0,1,0,0,8178,0,0,0,188
6678,188,Category,254,/search-by-stone-type/opalite/,Opalite,,,,category.aspx,3/28/2014,6,3/28/2014,3/28/2014,2,0,1,0,1,0,0,8540,0,0,0,188
6696,0,Category,255,/zodiac-gifts/,"Zodiac Gifts",,,,category.aspx,4/2/2014,6,4/2/2014,10/28/2020,2,0,1,0,1,1,0,14361,0,0,0,
6923,0,Category,258,/simmering-granules/,"Simmering Granules",,,,category.aspx,4/30/2014,6,4/30/2014,10/23/2020,2,0,1,0,1,1,0,17205,0,0,0,
7027,0,Category,259,/wolf-gifts/,"Wolf Gifts",,,,category.aspx,5/22/2014,6,5/22/2014,2/28/2024,2,0,1,0,0,0,0,15808,0,0,0,
7028,0,Category,260,/lisa-parker/,"Lisa Parker",,,,category.aspx,5/22/2014,6,5/22/2014,10/28/2020,2,0,1,0,1,1,0,18210,0,0,0,
7246,0,Category,262,/housewarming-gifts/,"Housewarming Gifts","| Some Weird and Wonderful Housewarming Gift Ideas","Housewarming, Home Gifts, New House, Homely","A selection of homely gifts ideal for housewarming presents but just as good for anyone wanting to make their house a home.",category.aspx,8/10/2014,6,8/10/2014,11/5/2014,2,0,1,0,1,1,0,19583,0,0,0,
7253,0,Category,264,/friends-family-gifts/,"Friends & Family Gifts","| Gifts For Friends or Family Membders","Friends, Gifts, Family, Mum, Grandma, Dad","A selection of unique, heartfelt and humorous gift ideas for friends or family members.",category.aspx,8/10/2014,6,8/10/2014,3/19/2018,5,0,1,0,1,1,0,17345,0,0,0,
7254,0,Category,265,/feel-good-products/,"Feel Good Products","| Gift Ideas To Make Someone Smile","Uplifting, Gifts, Avena, Feel Good","A selection of gift ideas all with a feel good factor intended to brighten a day, make someone smile, cheer someone up or cheerfully motivate with heartfelt and humorous messages.",category.aspx,8/10/2014,6,8/10/2014,2/19/2024,2,0,1,0,1,1,0,25269,0,0,0,
7255,0,Category,266,/any-3-for-1999-multi-buy/,"Any 3 For £19.99 Multi Buy!",,,,category.aspx,8/10/2014,6,8/10/2014,12/27/2023,2,0,1,0,1,1,0,21636,0,0,0,
7814,0,Category,271,/wax-melts/,"Wax Melts","| Melting Scented Wax For Oil Burners","Melting Wax, Wax, Oil Burner, Fragrance","Richly fragrant melting wax to place in the well of oil burners to generously give off the fascinating aromas.",category.aspx,11/15/2014,6,11/15/2014,10/23/2020,2,0,1,0,1,1,0,15563,0,0,0,
8133,0,Category,273,/anne-stokes/,"Anne Stokes","| Fantasy Gifts from Anne Stokes","Anne Stokes, Fantasy, Art","A range of wonderful fantasy gift created by the popular artist Anne Stokes.",category.aspx,2/7/2015,6,2/7/2015,10/28/2020,2,0,1,0,1,1,0,19373,0,0,0,
8220,0,Category,276,/unicorns/,Unicorns,,,,category.aspx,2/13/2015,6,2/13/2015,10/28/2020,2,0,1,0,1,1,0,13431,0,0,0,
8222,0,Category,277,/tree-man/,"Tree Man",,,,category.aspx,2/13/2015,6,2/13/2015,10/28/2020,2,0,1,0,1,1,0,11707,0,0,0,
8227,0,Category,278,/skulls/,Skulls,,,,category.aspx,2/13/2015,6,2/13/2015,2/28/2024,2,0,1,0,0,0,0,13164,0,0,0,
8738,0,Category,284,/thumb-stones/,"Thumb Stones",,,,category.aspx,10/9/2015,19,10/9/2015,10/28/2020,2,0,1,0,1,1,0,12137,0,0,0,
8749,0,Category,285,/wands/,Wands,,,,category.aspx,10/9/2015,6,10/9/2015,10/28/2020,2,0,1,0,1,1,0,11636,0,0,0,
8821,0,Category,286,/garden-bird-wild-animal-care/,"Garden Bird & Wild Animal Care",,,,category.aspx,10/24/2015,6,10/24/2015,3/19/2018,5,0,1,0,1,1,0,11775,0,0,0,
